"Discipline","Journal","Author position","Age","Standardised IF","n useable papers","n authors","Gender ratio of sample","Observed alpha","Lower 95 CI","Upper 95 CI","Alpha adjusted","Lower 95 CI","Upper 95 CI","Unadjusted p value","Adjusted p value"
"Chemistry Techniques, Analytical","Anal Chim Acta","All authors","New",0.342,217,968,34.091,0.078,0.026,0.138,0.08,0.027,0.145,0.002,0.008
"Neurology","Clin Neurophysiol","All authors","New",0.11,217,1150,32.783,0.082,0.02,0.108,0.083,0.025,0.111,0,0
"Medicine","Am J Med","All authors","New",0.444,216,895,29.05,0.031,-0.022,0.064,0.032,-0.017,0.064,0.249,0.355
"Biophysics","Biophys J","All authors","New",NA,216,964,27.905,0.063,0.009,0.087,0.064,0.007,0.088,0.02,0.051
"Medicine","Forensic Sci Int","All authors","New",NA,216,953,43.966,0.032,-0.006,0.081,0.032,-0.009,0.078,0.212,0.314
"Nanotechnology","Nano Lett","All authors","New",0.525,216,1265,21.502,0.066,0.035,0.104,0.067,0.035,0.106,0.001,0.004
"Neurology","Front Cell Neurosci","All authors","New",NA,215,1040,41.635,0.127,0.065,0.163,0.128,0.065,0.169,0,0
"Medicine","J Emerg Med","All authors","New",-0.284,215,816,31.985,0.091,0.025,0.139,0.092,0.028,0.136,0,0
"Urology","J Urol","All authors","New",0.416,215,1106,23.418,0.076,0.042,0.128,0.077,0.044,0.128,0.001,0.004
"Molecular Biology","Spectrochim Acta A Mol Biomol Spectrosc","All authors","New",NA,215,854,40.515,0.121,0.053,0.167,0.123,0.053,0.168,0,0
"General Surgery","Eur J Cardiothorac Surg","All authors","New",0.261,214,1182,19.797,0.047,0.011,0.071,0.048,0.016,0.072,0.013,0.036
"Hematology","Br J Haematol","All authors","New",0.317,213,1486,47.712,0.069,0.035,0.087,0.069,0.034,0.088,0,0
"Neoplasms","Pediatr Blood Cancer","All authors","New",-0.085,213,1297,53.816,0.082,0.03,0.092,0.084,0.031,0.09,0,0
"Gastroenterology","Hepatology","All authors","New",0.618,212,1094,33.272,0.019,0.031,0.087,0.021,0.033,0.089,0.402,0.51
"Dermatology","J Dtsch Dermatol Ges","All authors","New",0.1,211,937,39.274,-0.015,-0.034,0.057,-0.013,-0.033,0.057,0.575,0.669
"Ophthalmology","Retina (Philadelphia Pa)","All authors","New",NA,211,999,28.428,0.053,0.015,0.095,0.055,0.016,0.095,0.025,0.06
"Medicine","Bioorg Med Chem Lett","All authors","New",0.091,210,1207,35.128,0.035,0.007,0.068,0.036,0.006,0.07,0.079,0.147
"Reproductive Medicine","Fertil Steril","All authors","New",0.248,210,1138,44.903,0.14,0.077,0.164,0.142,0.074,0.163,0,0
"Nursing","J Clin Nurs","All authors","New",0.134,209,775,74.194,0.081,0.017,0.14,0.083,0.015,0.139,0.011,0.031
"Neurology","Neuropsychologia","All authors","New",0.051,208,836,47.727,0.026,-0.025,0.059,0.027,-0.024,0.061,0.375,0.484
"Ophthalmology","Ophthalmology","All authors","New",0.528,208,980,34.592,0.071,0.026,0.12,0.071,0.025,0.12,0.008,0.024
"General Surgery","Ann Surg","All authors","New",0.746,206,1081,24.607,0.089,0.056,0.143,0.091,0.062,0.146,0,0
"Gastroenterology","Clin Gastroenterol Hepatol","All authors","New",0.435,206,890,25.73,0.059,-0.012,0.066,0.059,-0.014,0.069,0.035,0.079
"Medicine","Free Radic Biol Med","All authors","New",0.457,206,1154,45.581,0.072,0.023,0.1,0.073,0.023,0.099,0,0
"Neurology","J Neurosurg","All authors","New",0.112,206,1092,18.864,0.049,0.008,0.078,0.049,0.009,0.077,0.024,0.059
"Medicine","Med J Aust","All authors","New",0.223,206,790,45.696,0.085,0.041,0.137,0.085,0.045,0.141,0.01,0.029
"Unclassified","Phys Rev","All authors","New",NA,206,637,15.542,0.083,0.002,0.132,0.084,0.003,0.134,0.039,0.085
"Psychology","Multivariate Behav Res","All authors","New",-0.289,205,547,22.852,-0.03,-0.081,0.068,-0.027,-0.074,0.069,0.54,0.638
"Neurology","Muscle Nerve","All authors","New",0.009,205,999,37.137,0.018,-0.008,0.068,0.019,-0.006,0.07,0.486,0.587
"Medicine","Nippon Rinsho","All authors","New",NA,205,500,10.8,-0.062,-0.097,0.008,-0.055,-0.086,0.016,0.266,0.372
"Medicine","Acad Med","All authors","New",0.281,204,767,51.499,0.116,0.032,0.147,0.117,0.034,0.144,0,0
"Cell Biology","Cell","All authors","New",0.908,204,801,32.584,0.067,0.006,0.068,0.072,0.011,0.077,0.035,0.079
"Environmental Health","J Environ Manage","All authors","New",0.091,204,808,36.881,0.03,-0.019,0.071,0.033,-0.02,0.075,0.328,0.437
"Biology","Philos Trans R Soc Lond B Biol Sci","All authors","New",NA,204,688,32.994,0.044,-0.005,0.112,0.044,-0.007,0.109,0.244,0.35
"Psychopharmacology","Psychopharmacology (Berl)","All authors","New",NA,204,1030,42.913,0.076,0.043,0.141,0.077,0.039,0.145,0.002,0.008
"Substance-Related Disorders","Drug Alcohol Depend","All authors","New",0.115,203,1017,47.984,0.027,-0.014,0.062,0.027,-0.014,0.061,0.26,0.365
"Dermatology","Int J Dermatol","All authors","New",-0.149,203,876,49.087,0.094,0.046,0.165,0.096,0.049,0.158,0.001,0.004
"Biophysics","Adv Mater Weinheim","All authors","New",NA,202,1000,22.3,0.093,0.039,0.124,0.094,0.039,0.124,0,0
"Medicine","Ann Emerg Med","All authors","New",0.395,202,730,30.685,0.065,-0.008,0.102,0.065,-0.008,0.102,0.052,0.105
"Medical Informatics","IEEE Trans Pattern Anal Mach Intell","All authors","New",0.396,202,625,10.88,0.019,-0.036,0.101,0.023,-0.033,0.104,0.648,0.731
"Communicable Diseases","BMC Infect Dis","All authors","New",-0.019,201,1369,43.316,0.05,0.032,0.098,0.052,0.031,0.1,0,0
"General Surgery","EuroIntervention","All authors","New",0.4,201,1222,16.285,0.069,0.026,0.095,0.07,0.026,0.093,0.001,0.004
"Molecular Biology","Mol Ecol","All authors","New",0.262,201,941,34.325,-0.003,-0.042,0.028,0,-0.042,0.031,0.914,0.947
"Pediatrics","Pediatr Infect Dis J","All authors","New",NA,201,1163,50.559,0.063,0.017,0.09,0.064,0.019,0.087,0.001,0.004
"General Surgery","Ann Vasc Surg","All authors","New",-0.167,200,1038,18.112,0.037,-0.01,0.071,0.038,-0.007,0.069,0.083,0.152
"Traumatology","Eur J Trauma Emerg Surg","All authors","New",-0.554,200,787,15.121,0.075,0.046,0.161,0.076,0.042,0.164,0.013,0.036
"Microbiology","J Clin Microbiol","All authors","New",0.108,200,1126,49.023,0.035,-0.005,0.052,0.036,-0.005,0.054,0.091,0.163
"Medicine","J Pharm Biomed Anal","All authors","New",0.196,200,1014,43.984,0.062,0.026,0.109,0.061,0.02,0.111,0.006,0.019
"Environmental Health","Oecologia","All authors","New",0.058,200,802,33.416,0.074,0.007,0.133,0.076,0.007,0.131,0.014,0.039
"General Surgery","Surg Endosc","All authors","New",0.362,200,1163,23.732,0.066,0.031,0.106,0.068,0.03,0.113,0.003,0.011
"Medicine","Ann Transl Med","All authors","New",NA,199,658,31.611,0.068,0.022,0.139,0.07,0.024,0.141,0.083,0.152
"Environmental Health","Environ Pollut","All authors","New",0.28,199,977,46.571,0.075,0.034,0.121,0.077,0.035,0.122,0.002,0.008
"Medicine","Am J Sports Med","All authors","New",0.35,198,1021,19.687,0.036,-0.008,0.079,0.039,-0.002,0.082,0.097,0.171
"Metabolism","J Clin Endocrinol Metab","All authors","New",0.3,198,1365,44.249,0.064,0.019,0.081,0.064,0.022,0.082,0,0
"General Surgery","J Vasc Surg","All authors","New",0.352,198,1076,22.584,0.018,-0.014,0.057,0.021,-0.015,0.059,0.406,0.512
"Medicine","Magn Reson Med","All authors","New",0.273,198,1000,18.1,0.003,-0.03,0.054,0.004,-0.025,0.055,0.919,0.951
"Communicable Diseases","J Infect Dis","All authors","New",0.354,197,1310,45.344,0.064,0.029,0.098,0.065,0.03,0.098,0.001,0.004
"Medicine","Med Phys","All authors","New",0.092,197,953,20.462,0.048,0.02,0.099,0.048,0.016,0.097,0.037,0.082
"Medicine","J Thorac Dis","All authors","New",NA,196,718,19.916,0.04,-0.024,0.104,0.043,-0.019,0.104,0.231,0.336
"Psychiatry","BMC Psychiatry","All authors","New",-0.036,195,1161,49.268,0.05,0.019,0.096,0.051,0.022,0.1,0.009,0.027
"Gastroenterology","Endoscopy","All authors","New",0.3,195,1030,23.883,0.078,0.055,0.127,0.081,0.055,0.134,0.001,0.004
"Medical Informatics","IEEE Trans Vis Comput Graph","All authors","New",-0.242,195,685,14.599,0.161,0.058,0.245,0.165,0.07,0.242,0,0
"Anti-Infective Agents","J Antimicrob Chemother","All authors","New",0.247,195,1198,45.075,0.001,-0.03,0.026,0.003,-0.027,0.028,0.951,0.968
"Dermatology","JAMA Dermatol","All authors","New",0.408,195,814,49.263,0.014,-0.035,0.055,0.015,-0.032,0.058,0.631,0.717
"Parasitology","Parasitol Res","All authors","New",-0.041,195,981,44.444,0.081,0.027,0.12,0.083,0.03,0.121,0.001,0.004
"Medicine","Pediatr Crit Care Med","All authors","New",0.12,195,703,39.26,0.137,0.049,0.16,0.139,0.054,0.163,0,0
"Cardiology","Catheter Cardiovasc Interv","All authors","New",-0.028,194,953,17.419,0.162,0.072,0.19,0.165,0.077,0.202,0,0
"Public Health","Public Health Nutr","All authors","New",0.088,194,894,66.89,0.107,0.049,0.162,0.109,0.049,0.164,0,0
"Medicine","J Pak Med Assoc","All authors","New",-0.616,193,768,34.896,0.249,0.144,0.286,0.25,0.143,0.286,0,0
"General Surgery","J Cataract Refract Surg","All authors","New",0.293,192,820,26.22,0.065,0.019,0.123,0.068,0.029,0.127,0.033,0.075
"Neoplasms","Mol Cell Oncol","All authors","New",NA,192,526,39.544,0.011,-0.068,0.098,0.011,-0.058,0.101,0.855,0.902
"Medicine","J Med Chem","All authors","New",0.443,191,1444,36.15,0.047,0.015,0.074,0.047,0.018,0.072,0.001,0.004
"Cell Biology","Cell Cycle","All authors","New",0.047,188,731,43.365,0.054,-0.016,0.069,0.053,-0.016,0.069,0.097,0.171
"Ophthalmology","Cornea","All authors","New",-0.038,188,847,30.697,0.045,0.015,0.129,0.047,0.013,0.131,0.11,0.188
"Endocrinology","Diabetes Care","All authors","New",0.458,188,1117,42.614,0.084,0.038,0.108,0.085,0.04,0.108,0,0
"Pediatrics","Int J Pediatr Otorhinolaryngol","All authors","New",-0.132,188,817,42.84,0.063,0.006,0.09,0.065,0.006,0.096,0.019,0.049
"Critical Care","Crit Care","All authors","New",0.354,187,1004,29.183,0.062,-0.001,0.066,0.063,0.003,0.069,0.008,0.024
"Gynecology","Obstet Gynecol","All authors","New",0.458,187,808,59.406,0.006,-0.004,0.111,0.008,-0.001,0.112,0.818,0.875
"Medicine","Ann Intern Med","All authors","New",0.911,186,668,42.964,0.108,0.046,0.139,0.109,0.044,0.144,0.002,0.008
"Rheumatology","Clin Rheumatol","All authors","New",-0.114,186,953,44.176,0.097,0.042,0.138,0.099,0.04,0.131,0,0
"Health Services Research","Health Expect","All authors","New",0.253,186,867,62.86,0.056,-0.004,0.092,0.06,0.002,0.098,0.03,0.07
"Chemistry","J Colloid Interface Sci","All authors","New",0.006,186,826,31.477,0.094,0.041,0.146,0.095,0.044,0.144,0.002,0.008
"Physical and Rehabilitation Medicine","Disabil Rehabil","All authors","New",0.013,185,793,66.456,0.166,0.081,0.214,0.168,0.081,0.21,0,0
"Biology","Glob Chang Biol","All authors","New",NA,184,979,31.154,0.012,-0.016,0.054,0.014,-0.015,0.054,0.621,0.709
"General Surgery","Interact Cardiovasc Thorac Surg","All authors","New",-0.063,184,902,18.625,0.088,0.029,0.11,0.088,0.029,0.112,0,0
"Medicine","Lakartidningen","All authors","New",NA,184,544,36.397,0.145,0.054,0.225,0.145,0.05,0.226,0.002,0.008
"Radiology","AJR Am J Roentgenol","All authors","New",NA,183,840,31.429,0.151,0.072,0.195,0.154,0.076,0.199,0,0
"Brain","Cereb Cortex","All authors","New",0.45,183,921,31.705,0.028,-0.007,0.067,0.029,-0.003,0.066,0.248,0.354
"Medicine","Dtsch Med Wochenschr","All authors","New",-0.603,183,554,25.451,0.045,-0.019,0.098,0.048,-0.018,0.105,0.308,0.416
"Pharmacology","J Pharm Sci","All authors","New",-0.02,183,846,37.943,0.129,0.073,0.197,0.13,0.077,0.195,0,0
"Biology","J Theor Biol","All authors","New",-0.044,183,595,25.042,0.022,-0.038,0.09,0.027,-0.039,0.091,0.614,0.703
"Neurology","Neuron","All authors","New",0.721,183,693,25.541,0.037,-0.009,0.091,0.04,-0.007,0.1,0.279,0.385
"Medicine","Clin Chem Lab Med","All authors","New",0.175,182,944,44.386,0.1,0.066,0.169,0.1,0.062,0.166,0,0
"Medicine","Einstein (Sao Paulo)","All authors","New",NA,182,861,48.2,0.194,0.105,0.222,0.194,0.105,0.22,0,0
"Neurology","Epilepsy Behav","All authors","New",-0.057,182,865,46.358,0.071,0.014,0.106,0.074,0.015,0.109,0.007,0.022
"Neurology","Front Behav Neurosci","All authors","New",NA,182,865,46.012,0.064,0.008,0.086,0.065,0.008,0.085,0.017,0.045
"Neoplasms","Int J Cancer","All authors","New",0.238,182,1347,46.325,0.063,0.024,0.081,0.064,0.024,0.078,0,0
"Orthopedics","Clin Orthop Relat Res","All authors","New",NA,181,830,21.084,0.08,0.009,0.159,0.082,0.01,0.164,0.004,0.014
"Gynecology","Eur J Obstet Gynecol Reprod Biol","All authors","New",-0.074,181,964,47.303,0.07,0.029,0.134,0.072,0.032,0.138,0.002,0.008
"Unclassified","Insects","All authors","New",NA,181,614,33.388,-0.024,-0.075,0.06,-0.022,-0.062,0.065,0.553,0.649
"Cell Biology","J Cell Sci","All authors","New",0.123,181,923,49.512,0.003,-0.027,0.045,0.005,-0.026,0.046,0.9,0.935
"Tropical Medicine","Malar J","All authors","New",NA,181,1140,39.298,0.056,0.01,0.085,0.057,0.013,0.085,0.004,0.014
"Radiology","Radiology","All authors","New",0.515,181,1018,31.336,0.122,0.054,0.166,0.125,0.053,0.17,0,0
"Transplantation","Transplantation","All authors","New",0.24,180,1046,36.042,-0.005,-0.007,0.048,-0.004,-0.004,0.053,0.801,0.86
"Unclassified","Waste Manag","All authors","New",NA,180,690,36.667,0.083,0.018,0.156,0.086,0.026,0.157,0.016,0.043
"Medicine","Eur J Med Chem","All authors","New",0.287,179,1391,45.579,0.084,0.043,0.109,0.086,0.048,0.11,0,0
"Orthopedics","Eur Spine","All authors","New",NA,179,895,18.547,0.078,0.014,0.129,0.079,0.014,0.13,0.002,0.008
"Neoplasms","Int J Radiat Oncol Biol Phys","All authors","New",0.148,178,1085,33.641,0.096,0.054,0.122,0.096,0.056,0.122,0,0
"Botany","J Exp Bot","All authors","New",0.161,178,888,39.865,0.02,-0.018,0.056,0.023,-0.018,0.053,0.422,0.528
"Genetics","Mol Phylogenet Evol","All authors","New",0.097,178,787,30.75,0.06,0.026,0.14,0.063,0.023,0.142,0.04,0.086
"Neurology","Neuropharmacology","All authors","New",0.269,178,942,41.507,0.079,0.021,0.121,0.081,0.025,0.123,0,0
"Diagnostic Imaging","PET Clin","All authors","New",NA,178,536,19.963,-0.074,-0.123,0.004,-0.072,-0.117,0.002,0.108,0.186
"Vascular Diseases","Thromb Res","All authors","New",-0.055,178,1005,41.393,0.073,0.03,0.115,0.075,0.031,0.118,0,0
"Neurology","Cortex","All authors","New",0.21,177,778,43.573,0.015,-0.045,0.021,0.017,-0.044,0.023,0.602,0.693
"Microbiology","Environ Microbiol","All authors","New",0.321,177,969,37.977,0.077,0.033,0.128,0.08,0.035,0.13,0.001,0.004
"Gastroenterology","J Pediatr Gastroenterol Nutr","All authors","New",-0.07,177,904,48.009,0.056,0.039,0.13,0.058,0.035,0.135,0.016,0.043
"Pediatrics","J Pediatric Infect Dis Soc","All authors","New",NA,177,863,49.479,0.033,-0.01,0.071,0.034,-0.006,0.071,0.215,0.316
"Neoplasms","Tumour Biol","All authors","New",NA,177,1089,46.373,0.083,0.027,0.105,0.085,0.029,0.104,0,0
"Nursing","Nurse Educ Today","All authors","New",0.195,176,637,73.469,0.045,-0.032,0.093,0.047,-0.033,0.102,0.227,0.332
"Chemistry Techniques, Analytical","Analyst","All authors","New",0.275,175,765,32.288,0.021,-0.025,0.067,0.025,-0.02,0.072,0.492,0.594
"Anesthesiology","Anesthesiology","All authors","New",0.426,175,737,27.544,0.059,-0.012,0.084,0.062,-0.008,0.082,0.058,0.115
"General Surgery","J Vasc Surg Venous Lymphat Disord","All authors","New",NA,175,784,21.939,0.037,-0.018,0.111,0.041,-0.013,0.108,0.186,0.284
"Unclassified","R Soc Open Sci","All authors","New",NA,175,701,29.529,0.053,0.004,0.093,0.055,0.005,0.102,0.085,0.155
"Gastroenterology","Am J Gastroenterol","All authors","New",0.566,174,841,32.342,0.049,0.017,0.112,0.051,0.02,0.114,0.058,0.115
"Obstetrics","BMC Pregnancy Childbirth","All authors","New",-0.011,174,951,63.617,0.104,0.05,0.141,0.105,0.049,0.139,0,0
"Dermatology","J Invest Dermatol","All authors","New",0.54,174,959,44.838,0.039,0,0.064,0.04,0.001,0.068,0.093,0.165
"Nutritional Sciences","Obesity (Silver Spring)","All authors","New",NA,174,1004,50,0.062,0.009,0.079,0.064,0.009,0.079,0.004,0.014
"Medicine","Ugeskr Laeg","All authors","New",NA,174,519,42.582,0.059,-0.002,0.168,0.063,0.004,0.17,0.194,0.293
"Unclassified","Animals (Basel)","All authors","New",NA,173,678,51.475,0.092,0.032,0.16,0.092,0.024,0.16,0.004,0.014
"Biochemistry","FEBS Lett","All authors","New",0.054,173,770,38.052,0.044,-0.001,0.1,0.045,0,0.099,0.135,0.221
"Cardiology","J Am Heart Assoc","All authors","New",0.343,173,1219,31.911,0.104,0.063,0.148,0.106,0.066,0.146,0,0
"Biophysics","J Phys Condens Matter","All authors","New",NA,173,554,17.148,0.072,-0.026,0.146,0.075,-0.023,0.155,0.102,0.178
"Otolaryngology","Otolaryngol Head Neck Surg","All authors","New",0.106,173,772,28.238,0.127,0.05,0.186,0.128,0.045,0.187,0,0
"Public Health","Cien Saude Colet","All authors","New",NA,172,676,67.899,0.111,0.062,0.199,0.111,0.058,0.202,0,0
"Pharmacology","Eur J Pharmacol","All authors","New",-0.006,172,846,46.927,0.083,0.038,0.145,0.086,0.036,0.146,0.001,0.004
"Radiology","Br J Radiol","All authors","New",-0.053,171,974,35.421,0.101,0.025,0.097,0.104,0.025,0.1,0,0
"General Surgery","Dermatol Surg","All authors","New",0.1,171,582,46.392,0.081,0.014,0.159,0.085,0.018,0.163,0.035,0.079
"Medicine","Oxid Med Cell Longev","All authors","New",NA,171,965,53.99,0.063,0.031,0.113,0.066,0.034,0.117,0.004,0.014
"Physiology","Plant Physiol","All authors","New",0.402,170,962,38.565,0.052,0.024,0.108,0.053,0.023,0.112,0.018,0.047
"Occupational Medicine","Work","All authors","New",NA,170,629,50.874,0.219,0.142,0.292,0.221,0.137,0.295,0,0
"Substance-Related Disorders","Addiction","All authors","New",0.287,169,670,42.687,0.021,-0.021,0.078,0.024,-0.023,0.077,0.527,0.626
"Vascular Diseases","Atherosclerosis","All authors","New",0.176,169,1155,36.19,0.064,0.026,0.094,0.065,0.026,0.101,0.001,0.004
"Cell Biology","Cell Mol Life Sci","All authors","New",0.206,169,714,44.538,0.035,-0.017,0.073,0.039,-0.014,0.074,0.297,0.405
"Neoplasms","Clin Cancer Res","All authors","New",0.436,169,1260,43.016,0.049,0.026,0.083,0.049,0.027,0.082,0.003,0.011
"Unclassified","Cureus","All authors","New",NA,169,735,23.537,0.096,0.04,0.154,0.098,0.042,0.162,0.001,0.004
"Neurology","J Clin Neurosci","All authors","New",-0.283,169,752,22.074,0.023,0,0.098,0.026,0.004,0.1,0.413,0.52
"Neurology","J Neurol","All authors","New",0.108,169,1074,41.527,0.033,0.004,0.07,0.035,0.004,0.072,0.093,0.165
"Nephrology","Kidney Int","All authors","New",0.518,169,741,33.873,0.014,-0.013,0.065,0.017,-0.006,0.069,0.659,0.741
"Medicine","Mil Med","All authors","New",NA,169,709,39.492,0.21,0.13,0.254,0.211,0.131,0.257,0,0
"Medicine","Pain","All authors","New",0.44,169,901,42.175,0.127,0.045,0.164,0.128,0.047,0.158,0,0
"Nephrology","Am J Kidney Dis","All authors","New",0.43,168,762,29.79,0.005,-0.022,0.09,0.008,-0.016,0.087,0.896,0.933
"Biology","Development","All authors","New",0.426,168,801,45.693,0,-0.039,0.029,0.003,-0.039,0.034,0.996,0.999
"Toxicology","Environ Toxicol Chem","All authors","New",0.054,168,740,40.135,0.057,0.017,0.129,0.059,0.02,0.134,0.042,0.089
"Medicine","Orthop J Sports Med","All authors","New",NA,168,917,15.267,0.091,0.036,0.147,0.093,0.041,0.142,0,0
"Pediatrics","Pediatr Dermatol","All authors","New",-0.117,168,683,57.98,0.105,0.062,0.193,0.106,0.058,0.189,0.001,0.004
"AIDS","AIDS","All authors","New",0.198,167,1207,46.23,0.042,0.01,0.069,0.043,0.009,0.069,0.01,0.029
"Pediatrics","Acta Paediatr","All authors","New",0.034,167,757,51.255,0.098,0.032,0.151,0.1,0.033,0.152,0.002,0.008
"Medicine","Bioorg Med Chem","All authors","New",0.161,167,1079,40.037,0.088,0.043,0.127,0.089,0.044,0.128,0,0
"Cardiology","Cardiol Young","All authors","New",-0.45,167,687,40.175,0.088,0.036,0.171,0.09,0.038,0.178,0.007,0.022
"Medicine","Mediators Inflamm","All authors","New",NA,167,950,49.789,0.066,0.038,0.121,0.067,0.039,0.12,0.004,0.014
"Gastroenterology","Dig Dis Sci","All authors","New",-0.05,166,790,32.025,0.093,0.025,0.112,0.095,0.028,0.113,0.002,0.008
"Pharmacology","Front Pharmacol","All authors","New",NA,166,776,45.747,0.047,-0.001,0.093,0.047,0,0.096,0.093,0.165
"Traumatology","J Trauma Acute Care Surg","All authors","New",0.22,166,976,28.893,0.097,0.026,0.108,0.099,0.029,0.11,0,0
"Psychiatry","Schizophr Res","All authors","New",0.202,166,1042,44.242,0.069,0.017,0.115,0.07,0.017,0.114,0,0
"Nutritional Sciences","Am J Clin Nutr","All authors","New",0.448,165,1055,48.91,0.022,-0.015,0.049,0.023,-0.014,0.048,0.258,0.363
"Rheumatology","Clin Exp Rheumatol","All authors","New",-0.027,165,940,45.745,0.05,0.021,0.102,0.051,0.024,0.107,0.019,0.049
"Neoplasms","Future Oncol","All authors","New",-0.177,165,694,39.049,0.06,0.022,0.112,0.061,0.025,0.116,0.073,0.138
"Biochemistry","Biochem Soc Trans","All authors","New",-0.065,164,576,39.583,0.056,-0.019,0.096,0.058,-0.018,0.097,0.142,0.231
"Biology","Evolution","All authors","New",0.247,164,582,28.351,-0.004,-0.053,0.047,-0.002,-0.05,0.05,0.926,0.953
"Orthopedics","Arthroscopy","All authors","New",0.311,163,843,13.286,0.028,-0.026,0.084,0.03,-0.027,0.084,0.249,0.355
"Neurology","Eur J Neurosci","All authors","New",0.049,163,717,37.796,0.047,-0.003,0.091,0.049,-0.001,0.093,0.116,0.197
